Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8006.0970,NA,14.33790000000000,16.34800000000000,18.45710000000000,33.19970000000000,80.8707,8003.6676,20.8865,2.4294,18.4571,21.3831,14.2460,12.0139,2.2321,-2.4532,8003.6676,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8026.7618,NA,20.66480000000000,13.85680000000000,11.72550000000000,32.98640000000000,74.0627,8024.5541,13.9332,2.2077,11.7255,14.7426,20.4515,11.5702,8.8813,7.0297,8024.5541,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8040.5129,NA,13.75110000000000,19.83470000000000,18.75970000000000,33.02280000000000,80.1463,8038.4873,20.7853,2.0256,18.7597,21.2885,13.7599,11.5918,2.1681,-5.9015,8038.4873,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8061.3477,NA,20.83480000000000,14.89910000000000,11.80480000000000,26.20490000000000,74.2106,8059.2726,13.8799,2.0751,11.8048,14.2631,14.0169,11.3505,2.6664,5.8862,8059.2726,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8075.5475,NA,14.19980000000000,18.46370000000000,11.53850000000000,32.80370000000000,78.4745,8073.1525,13.9335,2.3950,11.5385,14.4513,20.7474,11.6793,9.0681,-4.5838,8073.1525,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8089.9395,NA,14.39200000000000,16.26270000000000,17.95590000000000,32.22180000000000,80.3452,8087.0860,20.8094,2.8535,17.9559,21.3079,13.7674,11.6292,2.1382,-2.3292,8087.0860,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8110.2739,NA,20.33440000000000,13.88200000000000,11.51860000000000,32.85160000000000,73.8928,8107.8954,13.8971,2.3785,11.5186,14.2845,20.9456,11.7154,9.2302,6.9274,8107.8954,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8123.5545,NA,13.28060000000000,19.88660000000000,19.06430000000000,33.30120000000000,80.4988,8121.7925,20.8263,1.7620,19.0643,21.3330,13.7302,11.5713,2.1589,-5.9895,8121.7925,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8144.8967,NA,21.34220000000000,14.85110000000000,11.57370000000000,25.94420000000000,74.0077,8142.6188,13.8516,2.2779,11.5737,14.2369,13.9852,11.7355,2.2497,5.9752,8142.6188,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8158.4710,NA,13.57430000000000,18.51660000000000,11.89740000000000,33.22420000000000,78.9500,8156.4704,13.8980,2.0006,11.8974,14.4212,20.8036,11.6267,9.1769,-4.6650,8156.4704,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8172.7653,NA,14.29430000000000,16.21700000000000,18.46610000000000,33.11010000000000,80.8727,8170.3684,20.8630,2.3969,18.4661,21.3582,14.1488,11.9736,2.1752,-2.3190,8170.3684,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8193.0970,NA,20.33170000000000,13.88510000000000,12.02140000000000,33.32310000000000,74.4261,8191.2314,13.8870,1.8656,12.0214,14.6440,20.5447,11.4206,9.1241,6.9779,8191.2314,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8206.9597,NA,13.86270000000000,19.93120000000000,18.99460000000000,33.32120000000000,80.4946,8205.1184,20.8359,1.8413,18.9946,21.3017,13.8608,11.7014,2.1594,-6.0442,8205.1184,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8228.0814,NA,21.12170000000000,14.79360000000000,11.73320000000000,26.16240000000000,74.1665,8225.9543,13.8603,2.1271,11.7332,14.3266,13.9629,11.5625,2.4004,6.0423,8225.9543,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8241.9611,NA,13.87970000000000,18.60790000000000,11.75090000000000,33.10680000000000,78.8947,8239.8146,13.8974,2.1465,11.7509,14.4292,20.8241,11.5024,9.3217,-4.7476,8239.8146,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8256.2901,NA,14.32900000000000,16.13060000000000,18.31510000000000,32.57190000000000,80.6963,8253.7120,20.8932,2.5781,18.3151,21.3784,13.7716,11.5621,2.2095,-2.2332,8253.7120,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8276.6685,NA,20.37840000000000,13.88630000000000,11.81740000000000,33.12760000000000,74.2042,8274.6052,13.8807,2.0633,11.8174,14.2568,20.9341,11.7088,9.2253,7.0069,8274.6052,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8290.1208,NA,13.45230000000000,19.98700000000000,19.17920000000000,33.46040000000000,80.7389,8288.4859,20.8141,1.6349,19.1792,21.3102,13.7851,11.5547,2.2304,-6.1063,8288.4859,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8311.3354,NA,21.21460000000000,14.74350000000000,11.86210000000000,26.26760000000000,74.2678,8309.3000,13.8975,2.0354,11.8621,14.2812,14.0218,11.7224,2.2994,6.0706,8309.3000,NA
parkey.exe,25692,0x18D74B42E40,DXGI,1,0,0,Composed: Flip,8325.3903,NA,14.05490000000000,18.63420000000000,11.67970000000000,32.98730000000000,78.8471,8323.1975,13.8725,2.1928,11.6797,14.4055,20.7746,11.6736,9.1010,-4.7367,8323.1975,NA
