Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8028.1169,NA,21.17890000000000,16.66960000000000,11.71020000000000,26.38880000000000,76.1864,8025.8977,13.9294,2.2192,11.7102,14.7032,13.9048,7.9967,5.9081,4.1619,8025.8977,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8041.6212,NA,13.50430000000000,16.69890000000000,12.06040000000000,33.41800000000000,79.3810,8039.8271,13.8545,1.7941,12.0604,14.6786,20.5335,7.7038,12.8297,-2.7695,8039.8271,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8055.6675,NA,14.04630000000000,9.04990000000000,18.94880000000000,33.55920000000000,74.3846,8053.6816,20.9347,1.9859,18.9488,21.3576,14.1875,8.0376,6.1499,4.8046,8053.6816,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8076.8477,NA,21.18020000000000,24.29900000000000,11.57440000000000,32.91490000000000,77.5034,8074.6163,13.8058,2.2314,11.5744,14.6104,20.5359,7.7497,12.7862,-3.3643,8074.6163,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8090.5025,NA,13.65480000000000,16.68930000000000,18.81270000000000,33.31800000000000,80.5379,8088.4221,20.8931,2.0804,18.8127,21.3405,14.0579,7.6444,6.4135,-2.8835,8088.4221,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8111.5642,NA,21.06170000000000,16.67020000000000,11.54500000000000,33.00080000000000,76.1464,8109.3152,13.7940,2.2490,11.5450,14.5053,20.7445,7.7833,12.9612,4.2229,8109.3152,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8124.9579,NA,13.39370000000000,16.68050000000000,19.00430000000000,33.39570000000001,79.4332,8123.1092,20.8530,1.8487,19.0043,21.4558,13.7886,7.6304,6.1582,-2.8865,8123.1092,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8145.8821,NA,20.92420000000000,16.67920000000000,12.03750000000000,26.85830000000000,75.1882,8143.9622,13.9574,1.9199,12.0375,14.3914,14.3868,8.2159,6.1709,4.1738,8143.9622,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8159.7568,NA,13.87470000000000,16.67700000000000,12.04140000000000,33.71450000000000,77.9905,8157.9196,13.8786,1.8372,12.0414,14.8208,20.7309,8.1698,12.5611,-2.7196,8157.9196,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8173.5437,NA,13.78690000000000,16.68710000000000,19.10730000000000,33.51580000000000,80.8907,8171.7982,20.8528,1.7455,19.1073,21.6731,13.5882,7.7112,5.8770,-2.8085,8171.7982,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8194.5409,NA,20.99720000000000,16.67150000000000,11.91840000000000,33.20870000000000,76.5650,8192.6510,13.8083,1.8899,11.9184,14.4085,20.6901,7.2428,13.4473,4.1813,8192.6510,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8208.1972,NA,13.65630000000000,16.68290000000000,19.12170000000000,33.47310000000000,79.5916,8206.4593,20.8596,1.7379,19.1217,21.2903,13.9207,7.7940,6.1267,-2.8746,8206.4593,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8229.0774,NA,20.88020000000000,8.96450000000000,12.19660000000000,26.47280000000000,67.6759,8227.3189,13.9551,1.7585,12.1966,14.4054,13.8259,8.0392,5.7867,11.8951,8227.3189,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8243.1045,NA,14.02710000000000,24.39860000000000,12.05800000000000,33.51780000000000,78.0474,8241.2740,13.8885,1.8305,12.0580,14.3160,21.0323,8.4478,12.5845,-10.4435,8241.2740,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8257.2188,NA,14.11430000000000,16.68210000000000,18.78150000000000,33.38060000000000,80.6152,8255.1625,20.8378,2.0563,18.7815,21.4598,13.9771,7.9693,6.0078,-2.7936,8255.1625,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8278.0134,NA,20.79460000000000,16.67190000000000,11.80320000000000,33.27540000000000,76.4925,8276.0003,13.8163,2.0131,11.8032,14.5991,20.6894,7.9364,12.7530,4.1659,8276.0003,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8291.4082,NA,13.39480000000000,16.70810000000000,19.23640000000000,33.52550000000000,79.8058,8289.8166,20.8280,1.5916,19.2364,21.4722,13.6449,7.1975,6.4474,-2.8918,8289.8166,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8312.5564,NA,21.14820000000000,8.83100000000000,11.97420000000000,26.38750000000000,67.4886,8310.6446,13.8860,1.9118,11.9742,14.3376,13.9617,8.0079,5.9538,11.9970,8310.6446,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8326.4105,NA,13.85410000000000,24.50100000000000,12.13910000000000,33.71270000000000,78.1355,8324.5306,14.0190,1.8799,12.1391,14.5542,21.0384,8.1856,12.8528,-10.6150,8324.5306,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8340.4742,NA,14.06370000000000,16.69730000000000,18.87010000000000,33.38850000000000,80.7691,8338.5496,20.7947,1.9246,18.8701,21.5736,13.7395,7.8536,5.8859,-2.6783,8338.5496,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8361.1842,NA,20.71000000000000,16.66570000000000,11.99700000000000,33.60190000000000,76.7248,8359.3443,13.8369,1.8399,11.9970,14.5184,20.9234,8.1414,12.7820,4.1290,8359.3443,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8375.3002,NA,14.11600000000000,16.68830000000000,18.70660000000000,33.07930000000000,79.2971,8373.1812,20.8256,2.1190,18.7066,21.6049,13.5934,7.6277,5.9657,-2.8514,8373.1812,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8395.7173,NA,20.41710000000000,8.88290000000000,12.23620000000000,26.67930000000000,67.7629,8394.0068,13.9467,1.7105,12.2362,14.6520,13.7378,7.5943,6.1435,11.9427,8394.0068,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8409.7373,NA,14.02000000000000,24.47320000000000,12.06360000000000,33.37510000000000,78.2161,8407.9535,13.8474,1.7838,12.0636,14.4431,20.7158,7.8738,12.8420,-10.5265,8407.9535,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8423.6047,NA,13.86740000000000,16.69100000000000,19.10700000000000,33.68550000000000,81.0397,8421.8009,20.9108,1.8038,19.1070,21.4418,14.0475,8.1494,5.8981,-2.8436,8421.8009,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8444.6622,NA,21.05750000000000,16.67300000000000,11.85720000000000,33.09710000000000,76.6552,8442.7117,13.8077,1.9505,11.8572,14.5785,20.4691,7.7045,12.7646,4.2378,8442.7117,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8458.3246,NA,13.66240000000000,16.67760000000000,19.03030000000000,33.42180000000000,79.6704,8456.5194,20.8355,1.8052,19.0303,21.2733,13.9537,7.7595,6.1942,-2.8699,8456.5194,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8479.2490,NA,20.92440000000000,15.68680000000000,12.08870000000000,26.33090000000000,74.4328,8477.3549,13.9828,1.8941,12.0887,14.4389,13.7861,7.7569,6.0292,5.1487,8477.3549,NA
parkey.exe,19440,0x1890E1FF820,DXGI,1,0,0,Composed: Flip,8493.1585,NA,13.90950000000000,17.68270000000000,12.00950000000000,33.22930000000000,78.2060,8491.3377,13.8303,1.8208,12.0095,14.2422,20.8079,7.3509,13.4570,-3.6999,8491.3377,NA
