Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8004.7737,NA,7.05610000000000,13.88670000000000,4.58380000000000,14.58730000000000,25.3670,7997.8533,11.5042,6.9204,4.5838,13.3032,8.2045,8.1852,0.0193,6.6953,7997.8533,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8012.1983,NA,7.42460000000000,NA,0.16270000000000,14.44410000000000,NA,8009.3575,3.0035,2.8408,0.1627,10.0035,7.2814,7.2607,0.0207,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8020.1988,NA,8.00050000000000,26.04890000000000,3.02710000000000,14.62780000000000,35.9908,8012.3610,10.8649,7.8378,3.0271,14.2814,8.1842,8.1655,0.0187,-11.5412,8012.3610,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8027.5607,NA,7.36190000000000,NA,0.12350000000000,16.81660000000000,NA,8023.2259,4.4583,4.3348,0.1235,11.6007,9.5507,7.1551,2.3956,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8035.7436,NA,8.18290000000000,15.57570000000000,8.31200000000000,16.74350000000000,36.0217,8027.6842,16.3714,8.0594,8.3120,16.6931,8.1098,8.0928,0.0170,-0.2525,8027.6842,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8045.7101,NA,9.96650000000000,NA,0.10200000000000,12.56510000000000,NA,8044.0556,1.7565,1.6545,0.1020,8.4315,5.7881,5.7529,0.0352,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8053.0185,NA,7.30840000000000,17.80770000000000,4.96780000000000,13.42010000000000,36.5545,8045.8121,12.1742,7.2064,4.9678,12.4631,8.1634,8.1433,0.0201,0.3202,8045.8121,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8059.6776,NA,6.65910000000000,NA,0.10290000000000,19.53730000000000,NA,8057.9863,1.7942,1.6913,0.1029,8.4523,12.7763,5.9135,6.8628,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8067.0697,NA,7.39210000000000,10.02740000000000,11.81340000000000,20.25240000000000,32.5307,8059.7805,19.1026,7.2892,11.8134,19.4344,8.1072,8.0866,0.0206,3.9410,8059.7805,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8080.8277,NA,13.75800000000000,NA,0.10330000000000,13.72940000000000,NA,8078.8831,2.0479,1.9446,0.1033,8.4390,7.2350,7.1793,0.0557,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8087.8535,NA,7.02580000000000,13.90040000000000,4.84940000000000,13.98520000000000,25.6473,8080.9310,11.7719,6.9225,4.8494,13.6261,7.2816,7.2622,0.0194,7.2501,8080.9310,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8095.2104,NA,7.35690000000000,NA,0.09820000000000,13.21650000000000,NA,8092.7029,2.6057,2.5075,0.0982,9.1557,6.5683,6.5424,0.0259,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8102.8786,NA,7.66820000000000,26.09060000000000,3.69860000000000,13.18540000000000,36.7128,8095.3086,11.2686,7.5700,3.6986,13.1183,7.6371,7.5823,0.0548,-11.7130,8095.3086,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8109.1832,NA,6.30460000000000,NA,0.09830000000000,18.59880000000000,NA,8106.5772,2.7043,2.6060,0.0983,9.4868,11.7180,5.9578,5.7602,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8117.1209,NA,7.93770000000000,8.62960000000000,10.35220000000000,18.92110000000000,31.1001,8109.2815,18.1916,7.8394,10.3522,18.5316,8.2289,8.2102,0.0187,5.3433,8109.2815,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8129.3354,NA,12.21450000000000,NA,0.10800000000000,13.87470000000000,NA,8127.4731,1.9703,1.8623,0.1080,8.5689,7.1681,7.1118,0.0563,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8136.8208,NA,7.48540000000000,24.73090000000000,4.48740000000000,14.45660000000000,36.1311,8129.4434,11.8648,7.3774,4.4874,13.7667,8.0673,8.0486,0.0187,-4.5690,8129.4434,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8143.9824,NA,7.16160000000000,NA,0.10340000000000,18.55530000000000,NA,8141.3082,2.7776,2.6742,0.1034,9.9692,11.2603,6.8101,4.4502,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8152.2375,NA,8.25510000000000,10.01820000000000,9.96380000000000,18.44300000000000,30.7326,8144.0858,18.1155,8.1517,9.9638,18.4519,8.1428,8.1252,0.0176,4.6242,8144.0858,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8163.9594,NA,11.72190000000000,NA,0.10240000000000,13.73400000000000,NA,8162.2013,1.8605,1.7581,0.1024,8.4792,7.0129,6.9650,0.0479,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8171.2824,NA,7.32300000000000,13.87940000000000,4.73410000000000,13.75030000000000,25.5671,8164.0618,11.9547,7.2206,4.7341,13.6316,7.3393,7.3024,0.0369,6.0966,8164.0618,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8178.1972,NA,6.91480000000000,NA,0.09550000000000,13.34700000000000,NA,8176.0165,2.2762,2.1807,0.0955,9.0162,6.5115,6.4829,0.0286,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8186.2167,NA,8.01950000000000,26.14230000000000,3.72390000000000,13.02510000000000,36.7751,8178.2927,11.6479,7.9240,3.7239,13.2515,7.6976,7.6749,0.0227,-11.9114,8178.2927,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8192.4667,NA,6.25000000000000,NA,0.11780000000000,18.67470000000000,NA,8189.9406,2.6439,2.5261,0.1178,9.3012,11.8996,5.9577,5.9419,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8200.2252,NA,7.75850000000000,8.58030000000000,10.58160000000000,19.10100000000000,31.3469,8192.5845,18.2223,7.6407,10.5816,18.5569,8.1848,8.1640,0.0208,5.7115,8192.5845,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8212.5652,NA,12.34000000000000,NA,0.13370000000000,13.74530000000000,NA,8210.8068,1.8921,1.7584,0.1337,8.5194,6.9843,6.9211,0.0632,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8219.9136,NA,7.34840000000000,24.77670000000000,4.72290000000000,14.45850000000000,36.4352,8212.6989,11.9376,7.2147,4.7229,13.6116,8.0616,8.0435,0.0181,-4.6623,8212.6989,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8226.8845,NA,6.97090000000000,NA,0.09960000000000,18.99070000000000,NA,8224.6365,2.3476,2.2480,0.0996,9.7356,11.5031,6.7771,4.7260,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8235.1444,NA,8.25990000000000,9.96460000000000,10.40570000000000,18.97630000000000,31.1690,8226.9841,18.5660,8.1603,10.4057,18.8911,8.2455,8.2263,0.0192,4.3206,8226.9841,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8247.4078,NA,12.26340000000000,NA,0.10900000000000,14.44360000000000,NA,8245.5501,1.9667,1.8577,0.1090,8.5706,7.7307,7.7101,0.0206,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8254.8092,NA,7.40140000000000,13.86700000000000,4.70890000000000,14.72100000000000,25.3712,8247.5168,12.0013,7.2924,4.7089,14.3346,7.6788,7.6570,0.0218,6.6657,8247.5168,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8262.7139,NA,7.90470000000000,NA,0.10250000000000,13.80890000000000,NA,8259.5181,3.2983,3.1958,0.1025,10.0323,6.9724,6.9547,0.0177,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8270.6535,NA,7.93960000000000,26.22260000000000,2.64640000000000,14.02970000000000,35.7495,8262.8164,10.4835,7.8371,2.6464,13.7064,8.1604,8.1421,0.0183,-10.9230,8262.8164,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8277.3352,NA,6.68170000000000,NA,0.11160000000000,17.14430000000000,NA,8273.2999,4.1469,4.0353,0.1116,11.3833,9.7963,6.8531,2.9432,NA,NA,NA
parkey.exe,37068,0x20A50107CB0,DXGI,1,4,0,Composed: Flip,8285.4363,NA,8.10110000000000,8.50850000000000,8.72700000000000,17.24890000000000,29.4752,8277.4468,16.7165,7.9895,8.7270,17.0327,8.2057,8.1891,0.0166,6.1219,8277.4468,NA
