Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8005.9399,NA,13.69730000000000,16.65430000000000,0.14810000000000,1.61850000000000,32.0406,7992.4027,13.6853,13.5372,0.1481,0.3282,14.8275,13.8995,0.9280,4.2741,7992.4027,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8026.9428,NA,21.00290000000000,16.66660000000000,0.14750000000000,0.44570000000000,27.7043,8006.0880,21.0023,20.8548,0.1475,1.4704,19.8301,13.6870,6.1431,-2.9813,8006.0880,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8040.7371,NA,13.79430000000000,13.72330000000000,0.12430000000000,1.56960000000000,27.6333,8027.0903,13.7711,13.6468,0.1243,0.3330,14.8834,13.9623,0.9211,7.2790,8027.0903,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8054.7323,NA,13.99520000000000,19.64060000000000,0.13070000000000,2.38890000000000,33.2787,8040.8614,14.0016,13.8709,0.1307,1.4453,14.8145,14.2176,0.5969,-5.8695,8040.8614,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8075.5708,NA,20.83850000000000,16.68610000000000,0.17970000000000,0.46650000000000,29.1263,8054.8630,20.8875,20.7078,0.1797,2.2582,18.9161,13.8525,5.0636,-2.6845,8054.8630,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8089.3799,NA,13.80910000000000,16.66980000000000,0.23900000000000,1.61300000000000,31.9870,8075.7505,13.8684,13.6294,0.2390,0.3208,14.9216,14.0091,0.9125,4.2177,8075.7505,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8110.2849,NA,20.90500000000000,16.68350000000000,0.14930000000000,0.44620000000000,27.7655,8089.6189,20.8153,20.6660,0.1493,1.3740,19.7382,13.7127,6.0255,-2.8151,8089.6189,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8124.0703,NA,13.78540000000000,13.66160000000000,0.11980000000000,1.53880000000000,27.6417,8110.4342,13.7559,13.6361,0.1198,0.3305,14.8444,13.9325,0.9119,7.1537,8110.4342,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8137.9699,NA,13.89960000000000,19.69510000000000,0.14300000000000,2.15350000000000,33.4372,8124.1901,13.9228,13.7798,0.1430,1.4190,14.5143,13.9619,0.5524,-5.9392,8124.1901,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8158.8682,NA,20.89830000000000,16.76400000000000,0.17200000000000,0.45710000000000,29.3029,8138.1129,20.9273,20.7553,0.1720,2.0105,19.2019,13.7625,5.4394,-2.8412,8138.1129,NA
parkey.exe,35752,0x24BF6BF9B20,DXGI,1,0,0,Composed: Flip,8172.6629,NA,13.79470000000000,16.60060000000000,0.13910000000000,1.53130000000000,32.1088,8159.0402,13.7618,13.6227,0.1391,0.3257,14.8283,13.9223,0.9060,4.3267,8159.0402,NA
