Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8027.9351,NA,16.49480000000000,33.34710000000000,0.13460000000000,13.71200000000000,42.1723,8011.5667,16.5030,16.3684,0.1346,16.2578,13.8226,13.8008,0.0218,-16.6451,8011.5667,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8044.9307,NA,16.99560000000000,4.79290000000000,0.15540000000000,12.81140000000000,29.9696,8028.0697,17.0164,16.8610,0.1554,16.7181,12.9543,12.9341,0.0202,11.7101,8028.0697,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8061.2885,NA,16.35780000000000,11.89320000000000,0.13390000000000,12.45780000000000,25.5050,8045.0861,16.3363,16.2024,0.1339,16.0872,12.5730,12.5506,0.0224,5.1232,8045.0861,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8077.9718,NA,16.68330000000000,22.86430000000000,0.12040000000000,12.00960000000000,31.6860,8061.4224,16.6698,16.5494,0.1204,16.4363,12.1227,12.1037,0.0190,-6.5280,8061.4224,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8094.8629,NA,16.89110000000000,10.49640000000000,0.16880000000000,13.43830000000000,25.2913,8078.0922,16.9395,16.7707,0.1688,16.6337,13.5753,13.5544,0.0209,6.1734,8078.0922,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8111.4929,NA,16.63000000000000,24.26640000000000,0.14280000000000,13.93320000000000,32.9277,8095.0317,16.6040,16.4612,0.1428,16.3136,14.0808,14.0597,0.0211,-7.3269,8095.0317,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8127.9379,NA,16.44500000000000,13.88380000000000,0.11360000000000,12.97300000000000,30.3665,8111.6357,16.4158,16.3022,0.1136,16.1990,13.0762,13.0595,0.0167,2.7202,8111.6357,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8144.8725,NA,16.93460000000000,20.83500000000000,0.19190000000000,13.99610000000000,34.2669,8128.0515,17.0129,16.8210,0.1919,16.6576,14.1595,14.1380,0.0215,-4.4192,8128.0515,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8161.6640,NA,16.79150000000000,13.90500000000000,0.14070000000000,12.56630000000000,31.3804,8145.0644,16.7403,16.5996,0.1407,16.4546,12.7113,12.6925,0.0188,3.1079,8145.0644,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8178.4035,NA,16.73950000000000,27.20270000000000,0.16130000000000,13.42900000000000,41.8436,8161.8047,16.7601,16.5988,0.1613,16.4479,13.5799,13.5588,0.0211,-10.4624,8161.8047,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8195.1314,NA,16.72790000000000,7.49950000000000,0.16580000000000,13.70300000000000,32.6152,8178.5648,16.7324,16.5666,0.1658,16.4029,13.8667,13.8436,0.0231,9.2606,8178.5648,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8211.6874,NA,16.55600000000000,13.92130000000000,0.17590000000000,12.79090000000000,29.9805,8195.2972,16.5661,16.3902,0.1759,16.2328,12.9483,12.9315,0.0168,2.8111,8195.2972,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8228.2278,NA,16.54040000000000,20.82270000000000,0.13440000000000,13.82440000000000,34.2628,8211.8633,16.4989,16.3645,0.1344,16.2151,13.9738,13.9521,0.0217,-4.2566,8211.8633,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8244.7475,NA,16.51970000000000,13.87310000000000,0.13220000000000,12.47000000000000,31.6162,8228.3622,16.5175,16.3853,0.1322,16.2559,12.5994,12.5794,0.0200,2.6258,8228.3622,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8261.4268,NA,16.67930000000000,10.59910000000000,0.13780000000000,13.53490000000000,25.5360,8244.8797,16.6849,16.5471,0.1378,16.4247,13.6573,13.6386,0.0187,5.9184,8244.8797,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8278.0881,NA,16.66130000000000,24.13300000000000,0.16550000000000,13.97190000000000,33.0077,8261.5646,16.6890,16.5235,0.1655,16.3968,14.0986,14.0796,0.0190,-7.4481,8261.5646,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8294.8114,NA,16.72330000000000,13.90300000000000,0.13010000000000,12.86500000000000,30.1874,8278.2536,16.6879,16.5578,0.1301,16.4301,12.9927,12.9744,0.0183,2.7860,8278.2536,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8311.3933,NA,16.58190000000000,20.83260000000000,0.14090000000000,13.84410000000000,34.4381,8294.9415,16.5927,16.4518,0.1409,16.3178,13.9781,13.9592,0.0189,-4.1447,8294.9415,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8328.1237,NA,16.73040000000000,13.88710000000000,0.14630000000000,12.02000000000000,31.5948,8311.5342,16.7358,16.5895,0.1463,16.4426,12.1669,12.1506,0.0163,2.7056,8311.5342,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8344.7049,NA,16.58120000000000,10.64470000000000,0.15810000000000,13.50880000000000,25.6583,8328.2700,16.5930,16.4349,0.1581,16.3067,13.6370,13.6184,0.0186,6.0911,8328.2700,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8361.4936,NA,16.78870000000000,24.07700000000000,0.14810000000000,13.77940000000000,32.9466,8344.8630,16.7787,16.6306,0.1481,16.4633,13.9467,13.9286,0.0181,-7.4840,8344.8630,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8378.2593,NA,16.76570000000000,13.89680000000000,0.13770000000000,12.81070000000000,30.0777,8361.6417,16.7553,16.6176,0.1377,16.4771,12.9512,12.9323,0.0189,2.8819,8361.6417,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8394.9698,NA,16.71050000000000,20.84090000000000,0.16460000000000,13.99710000000000,34.2081,8378.3970,16.7374,16.5728,0.1646,16.4297,14.1402,14.1084,0.0318,-4.0856,8378.3970,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8411.9356,NA,16.96580000000000,13.88900000000000,0.17030000000000,13.90770000000000,31.1313,8395.1344,16.9715,16.8012,0.1703,16.6614,14.0475,14.0294,0.0181,2.8484,8395.1344,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8428.4608,NA,16.52520000000000,10.69250000000000,0.15730000000000,13.19430000000000,25.2986,8412.1059,16.5122,16.3549,0.1573,16.1933,13.3559,13.3364,0.0195,6.2790,8412.1059,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8445.0971,NA,16.63630000000000,24.04540000000000,0.17700000000000,13.86380000000000,32.7077,8428.6181,16.6560,16.4790,0.1770,16.3166,14.0262,14.0057,0.0205,-7.5332,8428.6181,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8461.6964,NA,16.59930000000000,13.89340000000000,0.17820000000000,12.69590000000000,30.0018,8445.2741,16.6005,16.4223,0.1782,16.2532,12.8650,12.8480,0.0170,2.7626,8445.2741,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8478.2004,NA,16.50400000000000,20.84400000000000,0.14990000000000,13.77440000000000,34.3418,8461.8746,16.4757,16.3258,0.1499,16.1866,13.9136,13.8949,0.0187,-4.2435,8461.8746,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8494.9944,NA,16.79400000000000,13.86550000000000,0.13930000000000,12.09550000000000,31.4133,8478.3503,16.7834,16.6441,0.1393,16.5125,12.2271,12.2044,0.0227,2.6102,8478.3503,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8511.7135,NA,16.71910000000000,10.74670000000000,0.17070000000000,13.43190000000000,25.4409,8495.1337,16.7505,16.5798,0.1707,16.4118,13.5999,13.5727,0.0272,6.0367,8495.1337,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8528.2085,NA,16.49500000000000,23.99440000000000,0.15700000000000,13.97030000000000,32.9403,8511.8842,16.4813,16.3243,0.1570,16.1824,14.1122,14.0983,0.0139,-7.2439,8511.8842,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8544.6864,NA,16.47790000000000,13.89660000000000,0.12420000000000,12.86520000000000,30.3590,8528.3655,16.4451,16.3209,0.1242,16.1975,12.9886,12.9702,0.0184,2.5847,8528.3655,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8561.4494,NA,16.76300000000000,20.78230000000000,0.14210000000000,14.02150000000000,34.3783,8544.8106,16.7809,16.6388,0.1421,16.5170,14.1433,14.1218,0.0215,-4.3372,8544.8106,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8578.2209,NA,16.77150000000000,6.99660000000000,0.13380000000000,12.52280000000000,24.6034,8561.5915,16.7632,16.6294,0.1338,16.4901,12.6621,12.6420,0.0201,9.7843,8561.5915,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8594.6848,NA,16.46390000000000,17.73550000000000,0.15790000000000,12.09880000000000,25.8750,8578.3547,16.4880,16.3301,0.1579,16.2074,12.2215,12.2028,0.0187,-0.9723,8578.3547,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8611.5118,NA,16.82700000000000,33.36090000000000,0.17380000000000,13.99460000000000,42.4089,8594.8427,16.8429,16.6691,0.1738,16.4803,14.1834,14.1646,0.0188,-16.8729,8594.8427,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8628.1553,NA,16.64350000000000,4.40980000000000,0.12810000000000,12.79060000000000,30.1752,8611.6856,16.5978,16.4697,0.1281,16.3492,12.9111,12.8905,0.0206,12.4331,8611.6856,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8644.7745,NA,16.61920000000000,12.27410000000000,0.17030000000000,12.83900000000000,25.8301,8628.2834,16.6614,16.4911,0.1703,16.3524,12.9777,12.9591,0.0186,4.3237,8628.2834,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8661.6745,NA,16.90000000000000,8.61690000000000,0.15120000000000,9.73110000000000,17.5470,8644.9448,16.8809,16.7297,0.1512,16.5807,9.8801,9.8423,0.0378,8.0445,8644.9448,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8678.2591,NA,16.58460000000000,24.74090000000000,0.14770000000000,9.82180000000000,25.7033,8661.8257,16.5811,16.4334,0.1477,16.2925,9.9627,9.9456,0.0171,-7.8600,8661.8257,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8694.6218,NA,16.36270000000000,33.36140000000000,0.13770000000000,13.83420000000000,42.7020,8678.4068,16.3527,16.2150,0.1377,16.0982,13.9510,13.9309,0.0201,-16.7803,8678.4068,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8711.3734,NA,16.75160000000000,4.35430000000000,0.14360000000000,12.79360000000000,30.3047,8694.7595,16.7575,16.6139,0.1436,16.4932,12.9143,12.8945,0.0198,11.9984,8694.7595,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8728.2693,NA,16.89590000000000,12.32850000000000,0.15450000000000,12.84900000000000,25.7373,8711.5170,16.9068,16.7523,0.1545,16.5871,13.0142,12.9842,0.0300,4.4290,8711.5170,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8744.8826,NA,16.61330000000000,8.57150000000000,0.13180000000000,10.27360000000000,17.6955,8728.4238,16.5906,16.4588,0.1318,16.3035,10.4289,10.3992,0.0297,8.3353,8728.4238,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8761.4038,NA,16.52120000000000,24.78790000000000,0.13070000000000,9.84650000000000,25.9622,8745.0144,16.5201,16.3894,0.1307,16.2640,9.9719,9.9453,0.0266,-8.1973,8745.0144,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8778.0640,NA,16.66020000000000,33.35640000000000,0.14450000000000,13.90390000000000,42.6584,8761.5345,16.6740,16.5295,0.1445,16.3901,14.0433,14.0239,0.0194,-16.8363,8761.5345,NA
parkey.exe,42044,0x1DBA23EDF50,DXGI,0,0,0,Composed: Flip,8794.7220,NA,16.65800000000000,4.30370000000000,0.14450000000000,12.80970000000000,30.3041,8778.2085,16.6580,16.5135,0.1445,16.3801,12.9431,12.9248,0.0183,12.3703,8778.2085,NA
