Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8033.6005,NA,13.81300000000000,16.68380000000000,0.16500000000000,0.38810000000000,32.2594,8019.9686,13.7969,13.6319,0.1650,0.5586,13.4614,8.5786,4.8828,4.3131,8019.9686,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8054.4126,NA,20.81210000000000,16.68190000000000,0.14150000000000,0.38340000000000,28.1292,8033.7655,20.7886,20.6471,0.1415,0.2890,20.7415,8.3508,12.3907,-2.8850,8033.7655,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8068.4724,NA,14.05980000000000,16.68760000000000,0.15710000000000,0.39510000000000,30.7570,8054.5541,14.0754,13.9183,0.1571,0.2791,14.0343,8.7354,5.2989,4.1010,8054.5541,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8082.2164,NA,13.74400000000000,16.68800000000000,0.15340000000000,0.78910000000000,33.7010,8068.6295,13.7403,13.5869,0.1534,0.2716,14.1044,9.0384,5.0660,-2.6126,8068.6295,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8103.1582,NA,20.94180000000000,16.67380000000000,0.13970000000000,0.40220000000000,29.4330,8082.3698,20.9281,20.7884,0.1397,0.6357,20.5549,9.2490,11.3059,-2.9335,8082.3698,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8116.9820,NA,13.82380000000000,16.68630000000000,0.18170000000000,0.37280000000000,32.2955,8103.2979,13.8658,13.6841,0.1817,0.3563,13.7006,8.7222,4.9784,4.2418,8103.2979,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8137.9635,NA,20.98150000000000,16.66200000000000,0.22890000000000,0.40050000000000,27.9760,8117.1637,21.0287,20.7998,0.2289,0.2520,20.9483,8.7336,12.2147,-2.7962,8117.1637,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8151.7707,NA,13.80720000000000,16.67680000000000,0.22950000000000,0.28150000000000,30.8456,8138.1924,13.8078,13.5783,0.2295,0.2542,13.6056,8.2053,5.4003,4.3519,8138.1924,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8165.6649,NA,13.89420000000000,16.68450000000000,0.15700000000000,0.42530000000000,33.6359,8152.0002,13.8217,13.6647,0.1570,0.1088,13.9812,8.7731,5.2081,-2.8767,8152.0002,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8186.4454,NA,20.78050000000000,16.67540000000000,0.12810000000000,0.38650000000000,29.5308,8165.8219,20.7516,20.6235,0.1281,0.3277,20.6823,9.0211,11.6612,-2.8537,8165.8219,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8200.2930,NA,13.84760000000000,16.67730000000000,0.19270000000000,0.81800000000000,32.3605,8186.5735,13.9122,13.7195,0.1927,0.3193,14.2182,9.2165,5.0017,4.0743,8186.5735,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8221.1590,NA,20.86600000000000,16.68600000000000,0.13550000000000,0.42060000000000,28.1805,8200.4857,20.8088,20.6733,0.1355,0.6253,20.4686,8.7497,11.7189,-2.7738,8200.4857,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8235.0192,NA,13.86020000000000,16.67880000000000,0.17460000000000,0.38460000000000,30.9991,8221.2945,13.8993,13.7247,0.1746,0.5834,13.5259,8.6050,4.9209,4.1300,8221.2945,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8255.8397,NA,20.82050000000000,16.68160000000000,0.14410000000000,0.40710000000000,26.8602,8235.1938,20.7900,20.6459,0.1441,0.2649,20.7881,8.5281,12.2600,-2.7823,8235.1938,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8269.7546,NA,13.91490000000000,16.67170000000000,0.16060000000000,0.39340000000000,29.6170,8255.9838,13.9314,13.7708,0.1606,0.2905,13.8737,8.5928,5.2809,4.1183,8255.9838,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8283.5995,NA,13.84490000000000,16.68170000000000,0.15750000000000,0.40380000000000,32.4538,8269.9152,13.8418,13.6843,0.1575,0.2706,13.8175,8.7060,5.1115,-2.7503,8269.9152,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8304.5308,NA,20.93130000000000,16.73070000000000,0.14760000000000,0.78360000000000,28.2532,8283.7570,20.9214,20.7738,0.1476,0.5849,20.9725,9.2394,11.7331,-2.8889,8283.7570,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8318.4362,NA,13.90540000000000,16.63070000000000,0.19540000000000,0.71680000000000,30.9785,8304.6784,13.9532,13.7578,0.1954,0.6360,13.8386,9.1015,4.7371,4.2907,8304.6784,NA
parkey.exe,25772,0x2D7110A5280,DXGI,1,0,0,Composed: Flip,8339.2368,NA,20.80060000000000,16.70160000000000,0.17110000000000,0.40310000000000,26.8795,8318.6316,20.7763,20.6052,0.1711,0.5214,20.4869,8.8912,11.5957,-2.7484,8318.6316,NA
