Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8021.9172,NA,8.51660000000000,20.71280000000000,0.12330000000000,8.22470000000000,17.5789,8013.5445,8.4960,8.3727,0.1233,8.0970,8.5004,8.4794,0.0210,4.0818,8013.5445,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8029.7691,NA,7.85190000000000,13.91030000000000,0.11590000000000,9.37410000000000,23.6373,8022.0405,7.8445,7.7286,0.1159,8.1330,8.9697,8.9354,0.0343,-5.4143,8022.0405,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8038.2394,NA,8.47030000000000,NA,0.14130000000000,9.14340000000000,NA,8029.8850,8.4957,8.3544,0.1413,9.2582,8.2396,8.2136,0.0260,NA,NA,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8046.2958,NA,8.05640000000000,13.88280000000000,0.10170000000000,9.92540000000000,20.9934,8038.3807,8.0168,7.9151,0.1017,9.0021,8.8384,8.8172,0.0212,2.4574,8038.3807,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8054.9241,NA,8.62830000000000,NA,0.12050000000000,8.69620000000000,NA,8046.3975,8.6471,8.5266,0.1205,9.8237,7.3991,7.3806,0.0185,NA,NA,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8063.4567,NA,8.53260000000000,13.88550000000000,0.12720000000000,8.11320000000000,17.7180,8055.0446,8.5393,8.4121,0.1272,8.6248,7.9005,7.8758,0.0247,2.7784,8055.0446,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8071.6347,NA,8.17800000000000,13.84620000000000,0.14350000000000,8.28670000000000,23.3862,8063.5839,8.1943,8.0508,0.1435,7.9860,8.3515,8.3196,0.0319,-5.3069,8063.5839,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8079.9754,NA,8.34070000000000,13.94490000000000,0.12520000000000,9.38480000000000,28.9904,8071.7782,8.3224,8.1972,0.1252,8.1722,9.4098,9.3715,0.0383,-5.7506,8071.7782,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8088.4922,NA,8.51680000000000,6.88830000000000,0.13290000000000,9.98480000000000,27.3619,8080.1006,8.5245,8.3916,0.1329,9.2596,9.1168,9.0881,0.0287,1.4341,8080.1006,NA
parkey.exe,33280,0x1FE6D6D9E00,DXGI,0,0,0,Composed: Flip,8096.7525,NA,8.26030000000000,6.96670000000000,0.11390000000000,10.72360000000000,26.0683,8088.6251,8.2413,8.1274,0.1139,9.8519,8.9991,8.9729,0.0262,1.5578,8088.6251,NA
