Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8040.7642,NA,16.51450000000000,16.68870000000000,0.24760000000000,8.72320000000000,25.9077,8024.4138,16.5980,16.3504,0.2476,16.0901,8.9835,8.9626,0.0209,0.6536,8024.4138,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8057.0966,NA,16.33240000000000,16.66990000000000,0.14260000000000,6.39720000000000,26.2452,8041.0118,16.2274,16.0848,0.1426,15.9303,6.5517,6.5314,0.0203,-0.0719,8041.0118,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8074.6466,NA,17.55000000000000,16.68590000000000,0.14550000000000,7.73330000000000,25.3811,8057.2392,17.5529,17.4074,0.1455,17.2417,7.8990,7.8747,0.0243,-0.4585,8057.2392,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8091.6192,NA,16.97260000000000,16.66840000000000,0.15280000000000,6.33640000000000,25.0769,8074.7921,16.9799,16.8271,0.1528,16.5851,6.5784,6.5564,0.0220,0.8845,8074.7921,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8107.6363,NA,16.01710000000000,16.69080000000000,0.22700000000000,7.80360000000000,25.7506,8091.7720,16.0913,15.8643,0.2270,15.6379,8.0300,8.0060,0.0240,0.2891,8091.7720,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8124.2276,NA,16.59130000000000,16.69170000000000,0.14220000000000,7.16140000000000,25.8510,8107.8633,16.5065,16.3643,0.1422,16.2123,7.3134,7.2909,0.0225,-0.6004,8107.8633,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8141.1018,NA,16.87420000000000,16.66480000000000,0.14800000000000,6.42560000000000,25.6416,8124.3698,16.8800,16.7320,0.1480,16.5765,6.5811,6.5581,0.0230,-0.1583,8124.3698,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8157.0342,NA,15.93240000000000,16.67930000000000,0.25710000000000,7.78420000000000,26.3885,8141.2498,16.0415,15.7844,0.2571,15.6018,7.9668,7.8480,0.1188,0.2007,8141.2498,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8173.4499,NA,16.41570000000000,16.67910000000000,0.12020000000000,6.35320000000000,26.6519,8157.2913,16.2788,16.1586,0.1202,16.0359,6.4759,6.4555,0.0204,-0.6376,8157.2913,NA
parkey.exe,40372,0x21C0676C560,DXGI,0,0,0,Composed: Flip,8190.5171,NA,17.06720000000000,16.67250000000000,0.14580000000000,7.86140000000000,26.2572,8173.5701,17.0928,16.9470,0.1458,16.7784,8.0300,8.0011,0.0289,-0.3937,8173.5701,NA
