Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8030.5242,NA,16.54550000000000,16.69520000000000,0.15590000000000,13.07040000000000,28.1462,8014.1161,16.5640,16.4081,0.1559,16.2642,13.2143,13.1827,0.0316,-0.2379,8014.1161,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8047.2946,NA,16.77040000000000,33.34430000000000,0.13060000000000,13.89340000000000,44.7201,8030.6801,16.7451,16.6145,0.1306,16.4737,14.0342,13.9978,0.0364,-16.7803,8030.6801,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8064.0524,NA,16.75780000000000,2.71170000000000,0.14540000000000,12.75800000000000,30.6740,8047.4252,16.7726,16.6272,0.1454,16.4759,12.9093,12.8844,0.0249,14.0334,8047.4252,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8080.6569,NA,16.60450000000000,13.83650000000000,0.20420000000000,13.49850000000000,27.9060,8064.1978,16.6633,16.4591,0.2042,16.3107,13.6469,13.6220,0.0249,2.9361,8064.1978,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8097.7516,NA,17.09470000000000,16.81030000000000,0.13430000000000,12.23510000000000,27.6216,8080.8611,17.0248,16.8905,0.1343,16.7536,12.3720,12.3332,0.0388,-0.1470,8080.8611,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8113.7774,NA,16.02580000000000,16.68190000000000,0.13570000000000,13.15250000000000,28.2777,8097.8859,16.0272,15.8915,0.1357,15.7471,13.2969,13.2719,0.0250,0.3429,8097.8859,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8130.3955,NA,16.61810000000000,16.67370000000000,0.14310000000000,13.56780000000000,28.3333,8113.9131,16.6255,16.4824,0.1431,16.3514,13.6988,13.6809,0.0179,-0.6465,8113.9131,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8147.0568,NA,16.66130000000000,16.68540000000000,0.14660000000000,12.76820000000000,28.3574,8130.5386,16.6648,16.5182,0.1466,16.3919,12.8945,12.8753,0.0192,-0.0599,8130.5386,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8163.7733,NA,16.71650000000000,16.53080000000000,0.13260000000000,13.75580000000000,28.1717,8147.2034,16.7025,16.5699,0.1326,16.4441,13.8816,13.8599,0.0217,0.1340,8147.2034,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8180.6071,NA,16.83380000000000,16.82620000000000,0.12940000000000,11.48580000000000,28.1641,8163.9059,16.8306,16.7012,0.1294,16.5736,11.6134,11.5959,0.0175,-0.1237,8163.9059,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8197.4287,NA,16.82160000000000,16.68920000000000,0.12120000000000,13.39880000000000,28.0317,8180.7365,16.8134,16.6922,0.1212,16.5760,13.5150,13.4925,0.0225,0.1414,8180.7365,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8213.8869,NA,16.45820000000000,16.67110000000000,0.16230000000000,12.90080000000000,28.2446,8197.5499,16.4993,16.3370,0.1623,16.1801,13.0577,13.0313,0.0264,0.1423,8197.5499,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8230.3263,NA,16.43940000000000,16.68570000000000,0.12290000000000,11.41920000000000,28.4909,8214.0492,16.4000,16.2771,0.1229,16.1607,11.5356,11.5166,0.0190,-0.1864,8214.0492,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8246.9879,NA,16.66160000000000,16.43800000000000,0.10520000000000,13.70520000000000,28.2673,8230.4492,16.6439,16.5387,0.1052,16.4330,13.8109,13.7848,0.0261,-0.0380,8230.4492,NA
parkey.exe,37420,0x25248759E30,DXGI,0,0,0,Composed: Flip,8263.6661,NA,16.67820000000000,16.91670000000000,0.11030000000000,9.80100000000000,28.5058,8247.0931,16.6833,16.5730,0.1103,16.4607,9.9133,9.8925,0.0208,-0.2728,8247.0931,NA
