Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8028.3652,NA,9.04350000000000,6.88130000000000,0.00000000000000,17.11940000000000,34.9061,8019.3217,9.0435,9.0435,0.0000,17.1820,8.9809,8.9809,0.0000,2.1548,8019.3217,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8037.2349,NA,8.86970000000000,4.21170000000000,0.00000000000000,17.22280000000000,30.2481,8028.3652,8.8697,8.8697,0.0000,17.1194,8.9731,8.9731,0.0000,4.8318,8028.3652,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8046.2580,NA,9.02310000000000,9.68900000000000,0.00000000000000,16.70100000000000,30.9140,8037.2349,9.0231,9.0231,0.0000,17.2228,8.5013,8.5013,0.0000,-0.8193,8037.2349,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8055.1064,NA,8.84840000000000,13.91100000000000,0.00000000000000,16.80440000000000,35.9766,8046.2580,8.8484,8.8484,0.0000,16.7010,8.9518,8.9518,0.0000,-4.8879,8046.2580,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8063.6867,NA,8.58030000000000,6.92640000000000,0.00000000000000,17.21150000000000,34.3227,8055.1064,8.5803,8.5803,0.0000,16.8044,8.9874,8.9874,0.0000,1.9220,8055.1064,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8073.0343,NA,9.34760000000000,6.94020000000000,0.00000000000000,16.77700000000000,31.9153,8063.6867,9.3476,9.3476,0.0000,17.2115,8.9131,8.9131,0.0000,1.6401,8063.6867,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8081.7028,NA,8.66850000000000,12.55590000000000,0.00000000000000,17.02240000000000,35.8027,8073.0343,8.6685,8.6685,0.0000,16.7770,8.9139,8.9139,0.0000,-3.2083,8073.0343,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8090.8639,NA,9.16110000000000,8.28130000000000,0.00000000000000,16.79320000000000,34.9229,8081.7028,9.1611,9.1611,0.0000,17.0224,8.9319,8.9319,0.0000,0.3872,8081.7028,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8100.0363,NA,9.17240000000000,6.96290000000000,0.00000000000000,16.46250000000000,32.7134,8090.8639,9.1724,9.1724,0.0000,16.7932,8.8417,8.8417,0.0000,2.1982,8090.8639,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8108.6218,NA,8.58550000000000,6.92670000000000,0.00000000000000,16.37580000000000,31.0546,8100.0363,8.5855,8.5855,0.0000,16.4625,8.4988,8.4988,0.0000,2.2457,8100.0363,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8117.6406,NA,9.01880000000000,11.21270000000000,0.00000000000000,15.92100000000000,33.2485,8108.6218,9.0188,9.0188,0.0000,16.3758,8.5640,8.5640,0.0000,-2.6272,8108.6218,NA
parkey.exe,30376,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8126.1714,NA,8.53080000000000,9.62170000000000,0.00000000000000,15.93730000000000,34.3394,8117.6406,8.5308,8.5308,0.0000,15.9210,8.5471,8.5471,0.0000,-0.6029,8117.6406,NA
