Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8018.5417,NA,3.93910000000000,4.93630000000000,0.00000000000000,7.27700000000000,20.0615,8014.6026,3.9391,3.9391,0.0000,7.0254,4.1907,4.1907,0.0000,2.8401,8014.6026,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8022.7847,NA,4.24300000000000,8.98190000000000,0.00000000000000,7.33940000000000,24.8004,8018.5417,4.2430,4.2430,0.0000,7.2770,4.3054,4.3054,0.0000,-5.0428,8018.5417,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8027.4963,NA,4.71160000000000,NA,0.00000000000000,6.85640000000000,NA,8022.7847,4.7116,4.7116,0.0000,7.3394,4.2286,4.2286,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8031.0895,NA,3.59320000000000,6.96700000000000,0.00000000000000,7.60810000000000,23.4626,8027.4963,3.5932,3.5932,0.0000,6.8564,4.3449,4.3449,0.0000,1.9876,8027.4963,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8035.5050,NA,4.41550000000000,NA,0.00000000000000,7.06140000000000,NA,8031.0895,4.4155,4.4155,0.0000,7.6081,3.8688,3.8688,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8039.8272,NA,4.32220000000000,6.96290000000000,0.00000000000000,6.98980000000000,21.6878,8035.5050,4.3222,4.3222,0.0000,7.0614,4.2506,4.2506,0.0000,1.0458,8035.5050,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8043.9404,NA,4.11320000000000,6.85630000000000,0.00000000000000,7.04860000000000,24.4309,8039.8272,4.1132,4.1132,0.0000,6.9898,4.1720,4.1720,0.0000,-2.5341,8039.8272,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8047.7107,NA,3.77030000000000,NA,0.00000000000000,7.42040000000000,NA,8043.9404,3.7703,3.7703,0.0000,7.0486,4.1421,4.1421,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8052.0737,NA,4.36300000000000,3.59400000000000,0.00000000000000,7.11290000000000,19.8916,8047.7107,4.3630,4.3630,0.0000,7.4204,4.0555,4.0555,0.0000,4.2895,8047.7107,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8057.0660,NA,4.99230000000000,NA,0.00000000000000,6.21790000000000,NA,8052.0737,4.9923,4.9923,0.0000,7.1129,4.0973,4.0973,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8060.6418,NA,3.57580000000000,10.29840000000000,0.00000000000000,6.77010000000000,21.6219,8057.0660,3.5758,3.5758,0.0000,6.2179,4.1280,4.1280,0.0000,-0.9431,8057.0660,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8064.4714,NA,3.82960000000000,NA,0.00000000000000,7.10540000000000,NA,8060.6418,3.8296,3.8296,0.0000,6.7701,4.1649,4.1649,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8068.4097,NA,3.93830000000000,6.39580000000000,0.00000000000000,6.91350000000000,20.2498,8064.4714,3.9383,3.9383,0.0000,7.1054,3.7464,3.7464,0.0000,1.0096,8064.4714,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8072.7990,NA,4.38930000000000,7.58050000000000,0.00000000000000,6.23630000000000,23.4410,8068.4097,4.3893,4.3893,0.0000,6.9135,3.7121,3.7121,0.0000,-3.6422,8068.4097,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8076.7223,NA,3.92330000000000,NA,0.00000000000000,6.01280000000000,NA,8072.7990,3.9233,3.9233,0.0000,6.2363,3.6998,3.6998,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8079.9424,NA,3.22010000000000,6.91900000000000,0.00000000000000,6.54290000000000,23.2166,8076.7223,3.2201,3.2201,0.0000,6.0128,3.7502,3.7502,0.0000,1.3936,8076.7223,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8084.0204,NA,4.07800000000000,NA,0.00000000000000,5.39650000000000,NA,8079.9424,4.0780,4.0780,0.0000,6.5429,2.9316,2.9022,0.0294,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8088.2174,NA,4.19700000000000,6.97780000000000,0.00000000000000,5.22460000000000,21.9194,8084.0204,4.1970,4.1970,0.0000,5.3965,4.0251,4.0251,0.0000,0.3203,8084.0204,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8090.8941,NA,2.67670000000000,NA,0.00000000000000,6.69850000000000,NA,8088.2174,2.6767,2.6767,0.0000,5.2246,4.1506,4.1506,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8094.6193,NA,3.72520000000000,6.85400000000000,0.00000000000000,7.16120000000000,22.3715,8090.8941,3.7252,3.7252,0.0000,6.6985,4.1879,4.1879,0.0000,0.0197,8090.8941,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8098.6216,NA,4.00230000000000,NA,0.00000000000000,7.39530000000000,NA,8094.6193,4.0023,4.0023,0.0000,7.1612,4.2364,4.2364,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8103.0192,NA,4.39760000000000,5.02660000000000,0.00000000000000,7.16090000000000,18.9982,8098.6216,4.3976,4.3976,0.0000,7.3953,4.1632,4.1632,0.0000,2.7009,8098.6216,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8107.4270,NA,4.40780000000000,8.92010000000000,0.00000000000000,6.44120000000000,23.5105,8103.0192,4.4078,4.4078,0.0000,7.1609,3.6881,3.6881,0.0000,-4.5225,8103.0192,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8111.5113,NA,4.08430000000000,NA,0.00000000000000,6.06920000000000,NA,8107.4270,4.0843,4.0843,0.0000,6.4412,3.7123,3.7123,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8114.8730,NA,3.36170000000000,6.93930000000000,0.00000000000000,6.46550000000000,23.0038,8111.5113,3.3617,3.3617,0.0000,6.0692,3.7580,3.7580,0.0000,1.5528,8111.5113,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8118.9256,NA,4.05260000000000,NA,0.00000000000000,5.83510000000000,NA,8114.8730,4.0526,4.0526,0.0000,6.4655,3.4222,3.4222,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8122.6230,NA,3.69740000000000,6.97630000000000,0.00000000000000,6.34460000000000,22.2301,8118.9256,3.6974,3.6974,0.0000,5.8351,4.2069,4.2069,0.0000,0.4380,8118.9256,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8126.1774,NA,3.55440000000000,NA,0.00000000000000,6.96620000000000,NA,8122.6230,3.5544,3.5544,0.0000,6.3446,4.1760,4.1760,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8130.0396,NA,3.86220000000000,6.86850000000000,0.00000000000000,7.20690000000000,21.6820,8126.1774,3.8622,3.8622,0.0000,6.9662,4.1029,4.1029,0.0000,0.3833,8126.1774,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8134.0403,NA,4.00070000000000,NA,0.00000000000000,6.90840000000000,NA,8130.0396,4.0007,4.0007,0.0000,7.2069,3.7022,3.7022,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8138.2920,NA,4.25170000000000,3.66050000000000,0.00000000000000,6.56920000000000,17.0901,8134.0403,4.2517,4.2517,0.0000,6.9084,3.9125,3.9125,0.0000,4.2024,8134.0403,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8142.2817,NA,3.98970000000000,10.23300000000000,0.00000000000000,6.21890000000000,23.3334,8138.2920,3.9897,3.9897,0.0000,6.5692,3.6394,3.6394,0.0000,-5.9813,8138.2920,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8145.9580,NA,3.67630000000000,NA,0.00000000000000,6.26130000000000,NA,8142.2817,3.6763,3.6763,0.0000,6.2189,3.7187,3.7187,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8149.5086,NA,3.55060000000000,6.43010000000000,0.00000000000000,6.49930000000000,22.5366,8145.9580,3.5506,3.5506,0.0000,6.2613,3.7886,3.7886,0.0000,1.2359,8145.9580,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8153.4104,NA,3.90180000000000,NA,0.00000000000000,6.33680000000000,NA,8149.5086,3.9018,3.9018,0.0000,6.4993,3.7393,3.7393,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8157.3409,NA,3.93050000000000,7.53290000000000,0.00000000000000,6.36740000000000,22.2372,8153.4104,3.9305,3.9305,0.0000,6.3368,3.9611,3.9611,0.0000,-0.0805,8153.4104,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8161.0901,NA,3.74920000000000,NA,0.00000000000000,6.79710000000000,NA,8157.3409,3.7492,3.7492,0.0000,6.3674,4.1789,4.1789,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8164.7972,NA,3.70710000000000,6.93490000000000,0.00000000000000,6.07650000000000,21.7158,8161.0901,3.7071,3.7071,0.0000,6.7971,2.9865,2.9865,0.0000,0.7448,8161.0901,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8169.0018,NA,4.20460000000000,NA,0.00000000000000,4.73260000000000,NA,8164.7972,4.2046,4.2046,0.0000,6.0765,2.8607,2.8405,0.0202,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8171.9375,NA,2.93570000000000,6.96970000000000,0.00000000000000,5.74480000000000,21.5452,8169.0018,2.9357,2.9357,0.0000,4.7326,3.9479,3.9479,0.0000,0.9420,8169.0018,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8175.2323,NA,3.29480000000000,NA,0.00000000000000,6.80160000000000,NA,8171.9375,3.2948,3.2948,0.0000,5.7448,4.3516,4.2098,0.1418,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8178.8481,NA,3.61580000000000,6.86000000000000,0.00000000000000,7.38050000000000,21.4946,8175.2323,3.6158,3.6158,0.0000,6.8016,4.1947,4.1947,0.0000,-0.6295,8175.2323,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8183.2325,NA,4.38440000000000,5.06670000000000,0.00000000000000,6.74300000000000,22.1769,8178.8481,4.3844,4.3844,0.0000,7.3805,3.7469,3.7469,0.0000,-1.4509,8178.8481,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8187.4717,NA,4.23920000000000,NA,0.00000000000000,6.66220000000000,NA,8183.2325,4.2392,4.2392,0.0000,6.7430,4.1584,4.1584,0.0000,NA,NA,NA
parkey.exe,21044,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8191.8513,NA,4.37960000000000,8.89010000000000,0.00000000000000,6.03490000000000,22.4482,8187.4717,4.3796,4.3796,0.0000,6.6622,3.7523,3.7523,0.0000,-0.2665,8187.4717,NA
