Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8023.8014,NA,16.48000000000000,13.89780000000000,0.12840000000000,8.80620000000000,22.7127,8007.4465,16.4833,16.3549,0.1284,16.2403,8.9208,8.8991,0.0217,2.8930,8007.4465,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8040.4830,NA,16.68160000000000,20.89490000000000,0.15110000000000,9.24930000000000,26.9260,8023.9298,16.7043,16.5532,0.1511,16.5585,9.2440,9.2232,0.0208,-4.4116,8023.9298,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8057.9855,NA,17.50250000000000,13.82400000000000,0.16570000000000,7.76940000000000,23.2475,8040.6341,17.5171,17.3514,0.1657,17.1725,7.9483,7.9246,0.0237,2.8803,8040.6341,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8074.4301,NA,16.44460000000000,20.88640000000000,0.16150000000000,8.73930000000000,27.6893,8058.1512,16.4404,16.2789,0.1615,16.0128,9.0054,8.9831,0.0223,-3.3693,8058.1512,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8090.6104,NA,16.18030000000000,13.83500000000000,0.12850000000000,8.82800000000000,25.3440,8074.5916,16.1473,16.0188,0.1285,15.8858,8.9610,8.9427,0.0183,2.6054,8074.5916,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8107.2067,NA,16.59630000000000,13.89840000000000,0.14220000000000,8.32860000000000,22.6461,8090.7389,16.6100,16.4678,0.1422,16.3514,8.4450,8.4253,0.0197,2.2489,8090.7389,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8123.8672,NA,16.66050000000000,20.92260000000000,0.13390000000000,9.20440000000000,26.9082,8107.3489,16.6522,16.5183,0.1339,16.5467,9.1760,9.1592,0.0168,-4.3126,8107.3489,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8140.6413,NA,16.77410000000000,13.80580000000000,0.13610000000000,7.88050000000000,23.9399,8124.0011,16.7763,16.6402,0.1361,16.5076,8.0131,7.9944,0.0187,2.8464,8124.0011,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8157.2078,NA,16.56650000000000,20.87050000000000,0.13830000000000,8.83550000000000,28.2439,8140.7774,16.5687,16.4304,0.1383,16.2919,8.9740,8.9449,0.0291,-4.0942,8140.7774,NA
parkey.exe,26964,0x1FACBD00B90,DXGI,0,0,0,Composed: Flip,8190.8439,NA,33.63610000000000,34.74300000000000,0.14800000000000,9.03130000000000,29.3508,8157.3461,33.6458,33.4978,0.1480,33.3485,9.1806,9.1636,0.0170,-18.1743,8157.3461,NA
