Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8032.9093,NA,13.99930000000000,20.80830000000000,0.17160000000000,0.66720000000000,27.5404,8019.0404,14.0405,13.8689,0.1716,0.6385,13.8976,5.5195,8.3781,0.0708,8019.0404,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8053.6764,NA,20.76710000000000,13.89460000000000,0.16860000000000,0.39600000000000,20.6679,8033.0809,20.7641,20.5955,0.1686,0.4956,20.4959,6.3953,14.1006,0.1459,8033.0809,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8067.5934,NA,13.91700000000000,13.89540000000000,0.13790000000000,0.39060000000000,20.6463,8053.8450,13.8863,13.7484,0.1379,0.2624,13.8766,5.9145,7.9621,6.8687,8053.8450,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8081.4466,NA,13.85320000000000,20.82260000000000,0.16630000000000,0.92690000000000,27.6157,8067.7313,13.8816,13.7153,0.1663,0.2846,14.3576,6.4178,7.9398,-6.9363,8067.7313,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8102.2972,NA,20.85060000000000,13.89990000000000,0.15410000000000,0.76780000000000,20.6650,8081.6129,20.8384,20.6843,0.1541,0.7606,20.6915,6.9878,13.7037,-0.0183,8081.6129,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8116.1355,NA,13.83830000000000,20.84660000000000,0.12910000000000,0.68830000000000,27.6733,8102.4513,13.8133,13.6842,0.1291,0.6137,13.7588,5.5443,8.2145,-0.0082,8102.4513,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8137.0195,NA,20.88400000000000,13.88490000000000,0.13970000000000,0.38040000000000,20.6742,8116.2646,20.8946,20.7549,0.1397,0.5592,20.5761,6.6289,13.9472,-0.0716,8116.2646,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8150.8778,NA,13.85830000000000,13.90000000000000,0.12730000000000,0.40410000000000,20.7159,8137.1592,13.8459,13.7186,0.1273,0.3116,13.8111,5.6675,8.1436,6.9946,8137.1592,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8164.7787,NA,13.90090000000000,20.82900000000000,0.15660000000000,0.97350000000000,27.6440,8151.0051,13.9302,13.7736,0.1566,0.3072,14.4399,6.2235,8.2164,-6.9831,8151.0051,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8185.6164,NA,20.83770000000000,13.90860000000000,0.15800000000000,0.80110000000000,20.7149,8164.9353,20.8391,20.6811,0.1580,0.8169,20.6653,6.7853,13.8800,0.0216,8164.9353,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8199.4985,NA,13.88210000000000,20.80920000000000,0.13660000000000,0.75540000000000,27.6420,8185.7744,13.8607,13.7241,0.1366,0.6431,13.8364,5.8449,7.9915,0.0299,8185.7744,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8220.3874,NA,20.88890000000000,13.89260000000000,0.12890000000000,0.40080000000000,20.6457,8199.6351,20.8812,20.7523,0.1289,0.6188,20.5343,5.2437,15.2906,-0.0319,8199.6351,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8234.2554,NA,13.86800000000000,13.91570000000000,0.15910000000000,0.39550000000000,20.6934,8220.5163,13.8982,13.7391,0.1591,0.3060,13.8286,5.8622,7.9664,6.9655,8220.5163,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8248.1099,NA,13.85450000000000,20.82340000000000,0.15230000000000,0.68110000000000,27.6623,8234.4145,13.8477,13.6954,0.1523,0.2755,14.1010,6.2120,7.8890,-6.9252,8234.4145,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8268.9758,NA,20.86590000000000,13.89380000000000,0.13720000000000,0.78590000000000,20.6902,8248.2622,20.8508,20.7136,0.1372,0.6632,20.8363,6.8129,14.0234,-0.0461,8248.2622,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8282.8387,NA,13.86290000000000,27.77200000000000,0.11170000000000,0.69290000000000,34.5993,8269.1130,13.8374,13.7257,0.1117,0.6487,13.7699,5.5502,8.2197,-6.9212,8269.1130,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8303.7673,NA,20.92860000000000,13.88540000000000,0.16180000000000,0.40150000000000,27.5561,8282.9504,20.9787,20.8169,0.1618,0.5812,20.6372,6.8309,13.8063,-0.0480,8282.9504,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8317.6312,NA,13.86390000000000,13.90460000000000,0.11140000000000,0.38970000000000,27.5968,8303.9291,13.8135,13.7021,0.1114,0.2955,13.7963,6.2782,7.5181,7.0741,8303.9291,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8331.5353,NA,13.90410000000000,20.84950000000000,0.16330000000000,0.67640000000000,34.5422,8317.7426,13.9560,13.7927,0.1633,0.3083,14.1608,6.5381,7.6227,-7.0360,8317.7426,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8352.3927,NA,20.85740000000000,13.88220000000000,0.13740000000000,0.38380000000000,27.5670,8331.6986,20.8315,20.6941,0.1374,0.5746,20.5033,6.4608,14.0425,0.0738,8331.6986,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8366.2651,NA,13.87240000000000,20.83780000000000,0.14670000000000,0.72810000000000,34.5324,8352.5301,13.8817,13.7350,0.1467,0.3033,14.1598,6.6135,7.5463,-0.0063,8352.5301,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8387.1984,NA,20.93330000000000,13.91980000000000,0.17230000000000,0.40680000000000,27.5189,8366.4118,20.9589,20.7866,0.1723,0.5814,20.6120,6.4675,14.1445,-0.0381,8366.4118,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8401.0398,NA,13.84140000000000,13.86910000000000,0.48380000000000,0.48160000000000,27.5466,8387.3707,14.1529,13.6691,0.4838,0.2668,13.8839,6.3696,7.5143,7.0898,8387.3707,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8414.9686,NA,13.92880000000000,20.83710000000000,0.15250000000000,0.65860000000000,34.4549,8401.5236,13.5975,13.4450,0.1525,0.0000,14.1058,6.0724,8.0334,-6.6842,8401.5236,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8435.7481,NA,20.77950000000000,13.89210000000000,0.15840000000000,0.39750000000000,27.5675,8415.1211,20.7854,20.6270,0.1584,0.5604,20.4641,6.3073,14.1568,-0.2946,8415.1211,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8449.6257,NA,13.87760000000000,20.76750000000000,0.14660000000000,0.93030000000000,34.4574,8435.9065,13.8658,13.7192,0.1466,0.2728,14.3767,6.8276,7.5491,0.0179,8435.9065,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8470.4961,NA,20.87040000000000,7.00680000000000,0.14290000000000,0.38360000000000,20.5938,8449.7723,20.8667,20.7238,0.1429,0.7837,20.3237,6.4082,13.9155,6.8590,8449.7723,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8484.2745,NA,13.77840000000000,13.89210000000000,0.15160000000000,0.39950000000000,20.7075,8470.6390,13.7871,13.6355,0.1516,0.2990,13.7360,6.2073,7.5287,6.9746,8470.6390,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8498.1440,NA,13.86950000000000,20.82920000000000,0.14500000000000,0.78840000000000,27.6672,8484.4261,13.8629,13.7179,0.1450,0.2794,14.2269,6.2909,7.9360,-7.0421,8484.4261,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8519.0272,NA,20.88320000000000,13.90200000000000,0.13880000000000,0.38540000000000,20.6860,8498.2890,20.8770,20.7382,0.1388,0.7990,20.3246,6.3727,13.9519,-0.0391,8498.2890,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8532.8857,NA,13.85850000000000,20.84020000000000,0.12260000000000,0.70420000000000,27.6677,8519.1660,13.8423,13.7197,0.1226,0.3117,14.1122,5.9636,8.1486,0.0368,8519.1660,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8553.7663,NA,20.88060000000000,13.86840000000000,0.16740000000000,0.39910000000000,20.6555,8533.0083,20.9254,20.7580,0.1674,0.5816,20.5755,6.8236,13.7519,-0.0261,8533.0083,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8567.6177,NA,13.85140000000000,13.91940000000000,0.13140000000000,0.37300000000000,20.7235,8553.9337,13.8154,13.6840,0.1314,0.2652,13.7918,5.6514,8.1404,7.0060,8553.9337,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8581.4950,NA,13.87730000000000,20.81350000000000,0.14660000000000,0.78600000000000,27.6597,8567.7491,13.8925,13.7459,0.1466,0.2925,14.2394,6.0387,8.2007,-6.9981,8567.7491,NA
parkey.exe,2536,0x1B07C054F10,DXGI,1,0,0,Composed: Flip,8602.3699,NA,20.87490000000000,13.91400000000000,0.14180000000000,0.79820000000000,20.6988,8581.6416,20.8701,20.7283,0.1418,0.6394,20.8871,7.0434,13.8437,-0.0215,8581.6416,NA
