Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8013.4251,NA,6.70670000000000,6.95560000000000,0.15210000000000,6.09320000000000,16.0515,8006.8362,6.7410,6.5889,0.1521,6.4082,6.2739,6.2545,0.0194,-6.7898,8006.8362,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8020.2293,NA,6.80420000000000,6.95180000000000,1.93760000000000,6.18020000000000,16.1991,8013.5772,8.5897,6.6521,1.9376,6.4772,6.3551,6.3100,0.0451,-0.2108,8013.5772,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8027.2079,NA,6.97860000000000,6.94540000000000,0.17480000000000,6.31530000000000,16.1659,8022.1669,5.2158,5.0410,0.1748,4.9156,6.4407,6.4178,0.0229,1.6443,8022.1669,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8034.3125,NA,7.10460000000000,6.93200000000000,4.94780000000000,6.09730000000000,15.9933,8027.3827,11.8776,6.9298,4.9478,6.7517,6.2754,6.2465,0.0289,-1.7162,8027.3827,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8041.4105,NA,7.09800000000000,6.99610000000000,0.17040000000000,6.19160000000000,15.8914,8039.2603,2.3206,2.1502,0.1704,1.9921,6.3497,6.3248,0.0249,4.8815,8039.2603,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8048.0034,NA,6.59290000000000,6.92480000000000,6.53610000000000,7.09350000000000,16.2233,8041.5809,12.9586,6.4225,6.5361,6.3043,7.2117,6.9430,0.2687,-4.6042,8041.5809,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8054.7140,NA,6.71060000000000,6.87180000000000,0.16150000000000,6.99470000000000,16.3845,8054.5395,0.3360,0.1745,0.1615,0.5574,6.6118,6.5804,0.0314,6.0868,8054.5395,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8062.0752,NA,7.36120000000000,7.01340000000000,7.16640000000000,12.59150000000000,16.0367,8054.8755,14.3661,7.1997,7.1664,7.0578,12.7334,12.4965,0.2369,-6.6774,8054.8755,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8069.3233,NA,7.24810000000000,6.91230000000000,0.24990000000000,5.65650000000000,15.7009,8069.2416,0.3316,0.0817,0.2499,5.4251,0.3131,0.3131,0.0000,7.4538,8069.2416,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8076.0153,NA,6.69200000000000,6.99300000000000,7.53430000000000,10.63020000000000,16.0019,8069.5732,13.9764,6.4421,7.5343,6.2389,10.8334,10.0150,0.8184,-6.6614,8069.5732,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8083.6287,NA,7.61340000000000,6.95620000000000,0.21040000000000,3.09160000000000,15.3447,8083.5496,0.2895,0.0791,0.2104,3.1087,0.0620,0.0620,0.0000,7.0202,8083.5496,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8089.4724,NA,5.84370000000000,6.93080000000000,0.17410000000000,6.21650000000000,16.4318,8083.8391,5.8074,5.6333,0.1741,5.5255,6.3243,6.3045,0.0198,-6.6413,8083.8391,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8096.9767,NA,7.50430000000000,6.96800000000000,2.63770000000000,4.43290000000000,15.8955,8089.6465,9.9679,7.3302,2.6377,7.1817,4.5814,4.5533,0.0281,-1.1606,8089.6465,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8103.4705,NA,6.49380000000000,6.95500000000000,0.78360000000000,4.45350000000000,16.3567,8099.6144,4.6397,3.8561,0.7836,3.7188,4.5908,4.5679,0.0229,3.0129,8099.6144,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8110.4536,NA,6.98310000000000,6.96410000000000,5.45480000000000,5.45070000000000,16.3377,8104.2541,11.6543,6.1995,5.4548,6.0719,5.5783,4.2430,1.3353,-2.3244,8104.2541,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8117.2295,NA,6.77590000000000,6.86090000000000,3.01700000000000,4.10660000000000,16.4227,8115.9084,4.3381,1.3211,3.0170,1.2231,4.2046,4.1837,0.0209,4.7934,8115.9084,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8124.2584,NA,7.02890000000000,7.04330000000000,7.86140000000000,11.17960000000000,16.4371,8120.2465,11.8733,4.0119,7.8614,3.8551,11.3364,10.5843,0.7521,-2.7052,8120.2465,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8132.1658,NA,7.90740000000000,7.16230000000000,0.12210000000000,3.36300000000000,15.6920,8132.1198,0.1681,0.0460,0.1221,3.3363,0.0727,0.0727,0.0000,4.7110,8132.1198,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8138.0059,NA,5.84010000000000,6.74080000000000,0.24560000000000,5.36360000000000,16.5927,8132.2879,5.9636,5.7180,0.2456,5.6135,5.4681,5.4327,0.0354,-6.5727,8132.2879,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8145.3243,NA,7.31840000000000,6.95540000000000,2.73290000000000,4.97040000000000,16.2297,8138.2515,9.8057,7.0728,2.7329,6.9130,5.1302,5.1006,0.0296,-0.9918,8138.2515,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8152.0124,NA,6.68810000000000,6.92640000000000,0.18170000000000,4.09540000000000,16.4680,8148.0572,4.1369,3.9552,0.1817,3.8510,4.1996,4.1778,0.0218,2.8793,8148.0572,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8159.3575,NA,7.34510000000000,6.99630000000000,0.16840000000000,4.09880000000000,16.1192,8152.1941,7.3318,7.1634,0.1684,7.0254,4.2368,4.2152,0.0216,-2.8594,8152.1941,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8165.9234,NA,6.56590000000000,6.88650000000000,4.33420000000000,4.33470000000000,16.4398,8159.5259,10.7317,6.3975,4.3342,6.2921,4.4401,4.2330,0.2071,0.4453,8159.5259,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8172.6322,NA,6.70880000000000,6.89920000000000,2.93850000000000,5.99800000000000,16.6302,8170.2576,5.3131,2.3746,2.9385,2.2853,6.0873,6.0646,0.0227,3.8325,8170.2576,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8180.1325,NA,7.50030000000000,7.01740000000000,10.42510000000000,10.64900000000000,16.1473,8175.5707,14.9869,4.5618,10.4251,4.4309,10.7799,8.3817,2.3982,-1.7043,8175.5707,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8190.6089,NA,10.47640000000000,6.94530000000000,0.19450000000000,0.93910000000000,12.6162,8190.5576,0.2458,0.0513,0.1945,0.2239,0.7665,0.7665,0.0000,8.0416,8190.5576,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8193.8458,NA,3.23690000000000,6.96380000000000,1.49220000000000,4.11190000000000,16.3431,8190.8034,4.5346,3.0424,1.4922,2.9384,4.2159,4.1940,0.0219,-6.7180,8190.8034,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8200.5068,NA,6.66100000000000,6.93430000000000,4.44040000000000,4.43290000000000,16.6164,8195.3380,9.6092,5.1688,4.4404,5.0442,4.5575,4.2007,0.3568,-2.3997,8195.3380,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8208.0584,NA,7.55160000000000,6.98710000000000,1.83900000000000,5.25070000000000,16.0519,8204.9472,4.9502,3.1112,1.8390,2.9793,5.3826,5.3598,0.0228,2.6221,8204.9472,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8214.6471,NA,6.58870000000000,6.95470000000000,0.21160000000000,4.12000000000000,16.4179,8209.8974,4.9613,4.7497,0.2116,4.6383,4.2314,4.2003,0.0311,-2.0045,8209.8974,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8221.5572,NA,6.91010000000000,6.91910000000000,0.75640000000000,5.32940000000000,16.4269,8214.8587,7.4549,6.6985,0.7564,6.5735,5.4544,5.4300,0.0244,-1.9578,8214.8587,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8228.9404,NA,7.38320000000000,6.95760000000000,0.20820000000000,4.04890000000000,16.0013,8222.3136,6.8350,6.6268,0.2082,6.4524,4.2233,4.1991,0.0242,0.4973,8222.3136,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8235.6672,NA,6.72680000000000,6.95090000000000,1.94040000000000,4.06220000000000,16.2254,8229.1486,8.4590,6.5186,1.9404,6.3729,4.2079,4.1814,0.0265,-0.1159,8229.1486,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8242.7792,NA,7.11200000000000,6.97520000000000,0.60930000000000,5.73870000000000,16.0886,8237.6076,5.7809,5.1716,0.6093,5.0212,5.8891,5.8615,0.0276,1.4838,8237.6076,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8249.3682,NA,6.58900000000000,6.91430000000000,3.38780000000000,4.10430000000000,16.4139,8243.3885,9.3675,5.9797,3.3878,5.8602,4.2238,4.1968,0.0270,-1.1334,8243.3885,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8256.4174,NA,7.04920000000000,6.96090000000000,0.35190000000000,5.79480000000000,16.3256,8252.7560,4.0133,3.6614,0.3519,3.5192,5.9370,5.9034,0.0336,2.4066,8252.7560,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8263.4289,NA,7.01150000000000,6.93580000000000,3.92050000000000,4.07790000000000,16.2499,8256.7693,10.5801,6.6596,3.9205,6.5238,4.2137,4.1835,0.0302,-2.9225,8256.7693,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8270.1240,NA,6.69510000000000,6.97080000000000,0.13670000000000,4.47640000000000,16.5256,8267.3494,2.9113,2.7746,0.1367,2.6643,4.5867,4.5584,0.0283,3.6093,8267.3494,NA
parkey.exe,27808,0x12E93FCD700,DXGI,0,0,1,Hardware Composed: Independent Flip,8277.5057,NA,7.38170000000000,6.94010000000000,0.18790000000000,4.10500000000000,16.0840,8270.2607,7.4329,7.2450,0.1879,7.1098,4.2402,4.2039,0.0363,-4.0288,8270.2607,NA
