Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware Composed: Independent Flip,8018.9752,NA,6.80150000000000,6.94380000000000,0.18240000000000,3.46430000000000,6.8101,8012.3134,6.8442,6.6618,0.1824,7.1859,2.9402,2.9183,0.0219,-0.8230,8012.3134,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware: Independent Flip,8020.1615,NA,1.18630000000000,NA,0.10210000000000,5.88690000000000,NA,8019.1576,1.1060,1.0039,0.1021,3.3801,3.5107,2.8969,0.6138,NA,NA,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware Composed: Independent Flip,8025.8932,NA,5.73170000000000,6.94690000000000,0.11300000000000,3.17190000000000,6.8390,8020.2636,5.7426,5.6296,0.1130,5.8679,2.9336,2.9092,0.0244,1.0033,8020.2636,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware: Independent Flip,8026.1246,NA,0.23140000000000,NA,0.09780000000000,6.87190000000000,NA,8026.0062,0.2162,0.1184,0.0978,3.1646,3.8257,3.4171,0.4086,NA,NA,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware Composed: Independent Flip,8032.8566,NA,6.73200000000000,6.94330000000000,0.12060000000000,3.15930000000000,6.8189,8026.2224,6.7548,6.6342,0.1206,6.8513,2.9422,2.9169,0.0253,-0.9845,8026.2224,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware: Independent Flip,8033.6325,NA,0.77590000000000,NA,0.11440000000000,6.29780000000000,NA,8032.9772,0.7697,0.6553,0.1144,3.1537,3.7994,2.8998,0.8996,NA,NA,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware Composed: Independent Flip,8039.7778,NA,6.14530000000000,6.94810000000000,0.09820000000000,3.19090000000000,6.8458,8033.7469,6.1291,6.0309,0.0982,6.2683,2.9535,2.9297,0.0238,0.5764,8033.7469,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware: Independent Flip,8039.9393,NA,0.16150000000000,NA,0.14530000000000,6.94510000000000,NA,8039.8760,0.2086,0.0633,0.1453,3.2010,3.8074,2.8983,0.9091,NA,NA,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware Composed: Independent Flip,8046.7324,NA,6.79310000000000,6.95070000000000,0.10580000000000,4.75200000000000,6.8419,8040.0846,6.7536,6.6478,0.1058,6.9014,4.4984,4.4775,0.0209,-0.6130,8040.0846,NA
parkey.exe,38284,0x2344FDF89D0,DXGI,0,0,0,Hardware: Independent Flip,8046.9791,NA,0.24670000000000,NA,0.11570000000000,7.33870000000000,NA,8046.8382,0.2566,0.1409,0.1157,4.6462,2.8334,2.8139,0.0195,NA,NA,NA
