Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8015.9540,NA,6.92500000000000,6.95040000000000,0.00000000000000,7.46120000000000,24.5287,8009.0290,6.9250,6.9250,0.0000,7.6113,6.7749,6.7749,0.0000,-0.2716,8009.0290,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8023.0491,NA,7.09510000000000,6.93240000000000,0.00000000000000,7.06020000000000,24.3660,8015.9540,7.0951,7.0951,0.0000,7.4612,6.6941,6.6941,0.0000,-0.0074,8015.9540,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8030.0810,NA,7.03190000000000,6.94950000000000,0.00000000000000,7.19830000000000,24.2836,8023.0491,7.0319,7.0319,0.0000,7.0602,7.1700,7.1700,0.0000,0.1456,8023.0491,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8037.2125,NA,7.13150000000000,6.94230000000000,0.00000000000000,6.61640000000000,24.0944,8030.0810,7.1315,7.1315,0.0000,7.1983,6.5496,6.5496,0.0000,0.0896,8030.0810,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8044.0433,NA,6.83080000000000,6.88020000000000,0.00000000000000,6.41540000000000,24.1438,8037.2125,6.8308,6.8308,0.0000,6.6501,6.5961,6.5961,0.0000,0.2513,8037.2125,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8050.7812,NA,6.73790000000000,5.58430000000000,0.00000000000000,6.68480000000000,22.9902,8044.0433,6.7379,6.7379,0.0000,6.5468,6.8759,6.8759,0.0000,1.2465,8044.0433,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8057.8794,NA,7.09820000000000,8.37310000000000,0.00000000000000,6.43140000000000,24.2651,8050.7812,7.0982,7.0982,0.0000,6.9463,6.5833,6.5833,0.0000,-1.6352,8050.7812,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8064.7480,NA,6.86860000000000,6.94950000000000,0.00000000000000,6.51460000000000,24.3460,8057.8794,6.8686,6.8686,0.0000,6.7989,6.5843,6.5843,0.0000,0.1487,8057.8794,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8071.9263,NA,7.17830000000000,6.93930000000000,0.00000000000000,6.36940000000000,24.1070,8064.7480,7.1783,7.1783,0.0000,7.0198,6.5279,6.5279,0.0000,-0.0707,8064.7480,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8078.5401,NA,6.61380000000000,6.88470000000000,0.00000000000000,6.37310000000000,24.3779,8071.9263,6.6138,6.6138,0.0000,6.4782,6.5087,6.5087,0.0000,0.2936,8071.9263,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8085.6175,NA,7.07740000000000,4.21050000000000,0.00000000000000,6.26930000000000,21.5110,8078.5401,7.0774,7.0774,0.0000,6.9537,6.3930,6.3930,0.0000,2.4033,8078.5401,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8092.4963,NA,6.87880000000000,9.74090000000000,0.00000000000000,6.27520000000000,24.3731,8085.6175,6.8788,6.8788,0.0000,6.7587,6.3953,6.3953,0.0000,-2.6635,8085.6175,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8099.5635,NA,7.06720000000000,6.94050000000000,0.00000000000000,6.81280000000000,24.2464,8092.4963,7.0672,7.0672,0.0000,6.9168,6.9632,6.9632,0.0000,-0.0617,8092.4963,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8106.5172,NA,6.95370000000000,6.94270000000000,0.00000000000000,6.86440000000000,24.2354,8099.5635,6.9537,6.9537,0.0000,6.8128,7.0053,7.0053,0.0000,0.1245,8099.5635,NA
parkey.exe,33320,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8113.3724,NA,6.85520000000000,6.95070000000000,0.00000000000000,6.57790000000000,24.3309,8106.5172,6.8552,6.8552,0.0000,6.8644,6.5687,6.5687,0.0000,0.0030,8106.5172,NA
