Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8021.8480,NA,16.53030000000000,20.88550000000000,0.00000000000000,8.68440000000000,27.6082,8005.3177,16.5303,16.5303,0.0000,16.3766,8.8381,8.8381,0.0000,-4.3785,8005.3177,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8038.4260,NA,16.57800000000000,13.85450000000000,0.00000000000000,8.21780000000000,24.8847,8021.8480,16.5780,16.5780,0.0000,16.4174,8.3784,8.3784,0.0000,2.6758,8021.8480,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8055.2287,NA,16.80270000000000,20.87420000000000,0.00000000000000,8.28560000000000,28.9562,8038.4260,16.8027,16.8027,0.0000,16.6500,8.4383,8.4383,0.0000,-4.2962,8038.4260,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8071.5618,NA,16.33310000000000,13.88080000000000,0.00000000000000,8.48710000000000,26.5039,8055.2287,16.3331,16.3331,0.0000,16.1954,8.6248,8.6248,0.0000,2.9219,8055.2287,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8088.1605,NA,16.59870000000000,13.85860000000000,0.00000000000000,8.11820000000000,23.7638,8071.5618,16.5987,16.5987,0.0000,16.4689,8.2480,8.2480,0.0000,2.4745,8071.5618,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8105.4750,NA,17.31450000000000,20.88190000000000,0.00000000000000,8.82730000000000,27.3312,8088.1605,17.3145,17.3145,0.0000,17.1357,9.0061,9.0061,0.0000,-4.2832,8088.1605,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8121.8487,NA,16.37370000000000,13.86290000000000,0.00000000000000,8.27440000000000,24.8204,8105.4750,16.3737,16.3737,0.0000,16.2016,8.4465,8.4465,0.0000,3.4516,8105.4750,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8138.6433,NA,16.79460000000000,20.86590000000000,0.00000000000000,8.24250000000000,28.8917,8121.8487,16.7946,16.7946,0.0000,16.6160,8.4211,8.4211,0.0000,-4.4922,8121.8487,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8155.4096,NA,16.76630000000000,13.88730000000000,0.00000000000000,8.76990000000000,26.0127,8138.6433,16.7663,16.7663,0.0000,16.5720,8.9642,8.9642,0.0000,2.9073,8138.6433,NA
parkey.exe,39948,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8172.0731,NA,16.66350000000000,13.84980000000000,0.00000000000000,7.73810000000000,23.1990,8155.4096,16.6635,16.6635,0.0000,16.4838,7.9178,7.9178,0.0000,2.9165,8155.4096,NA
