Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8025.8104,NA,16.41490000000000,16.69490000000000,0.00000000000000,6.13150000000000,26.4729,8009.3955,16.4149,16.4149,0.0000,16.2126,6.3338,6.3338,0.0000,0.2143,8009.3955,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8042.2786,NA,16.46820000000000,16.68670000000000,0.00000000000000,7.41140000000000,26.6914,8025.8104,16.4682,16.4682,0.0000,16.2611,7.6185,7.6185,0.0000,-0.2718,8025.8104,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8059.3636,NA,17.08500000000000,16.74030000000000,0.00000000000000,6.20710000000000,26.3467,8042.2786,17.0850,17.0850,0.0000,16.8611,6.4310,6.4310,0.0000,-0.2721,8042.2786,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8076.1579,NA,16.79430000000000,16.60360000000000,0.00000000000000,7.48000000000000,26.1560,8059.3636,16.7943,16.7943,0.0000,16.5248,7.7495,7.7495,0.0000,0.4814,8059.3636,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8092.8086,NA,16.65070000000000,16.67610000000000,0.00000000000000,8.64150000000000,26.1814,8076.1579,16.6507,16.6507,0.0000,16.4423,8.8499,8.8499,0.0000,0.1182,8076.1579,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8109.2475,NA,16.43890000000000,16.68920000000000,0.00000000000000,6.14860000000000,26.4317,8092.8086,16.4389,16.4389,0.0000,16.2376,6.3499,6.3499,0.0000,-0.0385,8092.8086,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8125.5104,NA,16.26290000000000,16.69300000000000,0.00000000000000,6.15480000000000,26.8618,8109.2475,16.2629,16.2629,0.0000,16.0903,6.3274,6.3274,0.0000,-0.2541,8109.2475,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8142.4323,NA,16.92190000000000,16.65550000000000,0.00000000000000,6.01510000000000,26.5954,8125.5104,16.9219,16.9219,0.0000,16.7164,6.2206,6.2206,0.0000,-0.3926,8125.5104,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8159.1588,NA,16.72650000000000,16.68200000000000,0.00000000000000,7.54150000000000,26.5509,8142.4323,16.7265,16.7265,0.0000,16.5175,7.7505,7.7505,0.0000,0.2399,8142.4323,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8175.5428,NA,16.38400000000000,16.69060000000000,0.00000000000000,8.60580000000000,26.8575,8159.1588,16.3840,16.3840,0.0000,16.2013,8.7885,8.7885,0.0000,0.0359,8159.1588,NA
parkey.exe,39100,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,8192.2988,NA,16.75600000000000,16.67590000000000,0.00000000000000,6.15260000000000,26.7774,8175.5428,16.7560,16.7560,0.0000,16.5798,6.3288,6.3288,0.0000,-0.2919,8175.5428,NA
